post,pre
46,610
610,8
8,23
23,11
11,24
24,15
15,6
6,10
10,26
26,30
30,718
718,170
170,20
20,1096
1096,3
3,6
6,47
47,2279
2279,3
3,2510
2510,3
3,11
11,9
9,3
3,27
27,9
9,5
5,29
29,4
4,8
8,7
7,6
6,3
3,3
3,3
3,3
3,4
4,6
6,14
14,3
3,3
3,4
4,9
9,11
11,5
5,4
4,3
3,3
3,8
8,7
7,9
9,5
5,3
3,3
3,7
7,3
3,911
911,296
296,7
7,2
2,4
4,7
7,27
27,3
3,7
7,3
3,11
11,8
8,4
4,2
2,19
19,7
7,2399
2399,18
18,2
2,3
3,6
6,27
27,52
52,42
42,1601
1601,2516
2516,49
49,69
69,18
18,18
18,5
5,1477
1477,1172
1172,35
35,4
4,2876
2876,25
25,42
42,35
35,9
9,5740
5740,28
28,5819
5819,6
6,3
3,237
237,1214
1214,1853
1853,80
80,5
5,4
4,3
3,2
2,1971
1971,255
255,106
106,3247
3247,606
606,12
12,5
5,33
33,30
30,4
4,3
3,109
109,13
13,4
4,181
181,4
4,26
26,61
61,36
36,67
67,19
19,8
8,0
0,2080
2080,2448
2448,662
662,2
2,4
4,33
33,4
4,274
274,2773
2773,8
8,13
13,7639
7639,11
11,7
7,6
6,5
5,21
21,28
28,8175
8175,632
632,4
4,60
60,10737
10737,1517
1517,4658
4658,10
10,7
7,16
16,13
13,7
7,5140
5140,10
10,27
27,2992
2992,54
54,4
4,16
16,1285
1285,4
4,125
125,325
325,15
15,3
3,4
4,950
950,4
4,88
88,21
21,72
72,4
4,8
8,3
3,19
19,14
14,10
10,11338
11338,478
478,8
8,45
45,651
651,50
50,26
26,14
14,1397
1397,8989
8989,6
6,26
26,736
736,1162
1162,17
17,9
9,30
30,5
5,18
18,15
15,4
4,3
3,7
7,5
5,4
4,5
5,11
11,10
10,45
45,2
2,23
23,4
4,11
11,5
5,18
18,3
3,543
543,5
5,37
37,10
10,11
11,2
2,3
3,5
5,4
4,11
11,8
8,2
2,10
10,5
5,3
3,4
4,10
10,4
4,9
9,3
3,7
7,5
5,204
204,5
5,492
492,5
5,5
5,2
2,5
5,5
5,16
16,4
4,4
4,544
544,88
88,7
7,40
40,8
8,9
9,58
58,11
11,45
45,5
5,4
4,89
89,4
4,5
5,3
3,24
24,61
61,11
11,22
22,4
4,5
5,7
7,3
3,5
5,2
2,4
4,5
5,9
9,4
4,10
10,11
11,4
4,11
11,9
9,16
16,4
4,4
4,5
5,4
4,16
16,6
6,3
3,15
15,1034
1034,31
31,18
18,7
7,6
6,7
7,186
186,747
747,10
10,1561
1561,4
4,60
60,18
18,1474
1474,5
5,6
6,18
18,15
15,30
30,510
510,5
5,12
12,11
11,665
665,24
24,9
9,13
13,95
95,2133
2133,865
865,1928
1928,39
39,833
833,20
20,647
647,35
35,2329
2329,72
72,424
424,590
590,27
27,228
228,93
93,497
497,60
60,1440
1440,3
3,86
86,419
419,13
13,126
126,38
38,23
23,11540
11540,3
3,10
10,23204
23204,20
20,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,3
3,3
3,0
0,0
0,0
0,1
1,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,5
5,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,8
8,0
0,0
0,0
