post,pre
4,4
4,4
4,3
3,3
3,5
5,5
5,13
13,4
4,5
5,7
7,5
5,4
4,5
5,4
4,2
2,6
6,4
4,11
11,1490
1490,4
4,5
5,5
5,5
5,5
5,3
3,6
6,4
4,4
4,4
4,7
7,3
3,5
5,4
4,1557
1557,8
8,71
71,2
2,5
5,6
6,3
3,7
7,6
6,1
1,4
4,220
220,6
6,6
6,3
3,5
5,4
4,3
3,4
4,6
6,4
4,4
4,4
4,5
5,4
4,1130
1130,4
4,8
8,3
3,1504
1504,43
43,4
4,12
12,5
5,8
8,207
207,3
3,2455
2455,5
5,5
5,6
6,4
4,6
6,17
17,102
102,5
5,953
953,0
0,5
5,0
0,716
716,6
6,2
2,5
5,6
6,954
954,1444
1444,5
5,4
4,2
2,5
5,7
7,4
4,4
4,4
4,5
5,5
5,71
71,3
3,3
3,7
7,4
4,4
4,2785
2785,206
206,4
4,5
5,5
5,6
6,5
5,9
9,11
11,4
4,8
8,6
6,4
4,5
5,7
7,2447
2447,4
4,3
3,4
4,3
3,2
2,5
5,6
6,3
3,4
4,4
4,4
4,5
5,7
7,10
10,6
6,7
7,5
5,5
5,6
6,5
5,313
313,5
5,3
3,4
4,6
6,6
6,5
5,7
7,6
6,4
4,4
4,4
4,5
5,5
5,7
7,5
5,5
5,2569
2569,5
5,5
5,4
4,6
6,4
4,5
5,36
36,1600
1600,5
5,5
5,4
4,5
5,4
4,6
6,5
5,3
3,5
5,5
5,1034
1034,4
4,4
4,3
3,4
4,4
4,3
3,3
3,3
3,8
8,7
7,8
8,11
11,1480
1480,10
10,4
4,6
6,6
6,5
5,4
4,4122
4122,5
5,5
5,7
7,4
4,3
3,3
3,4
4,6
6,5
5,7
7,6
6,6
6,3
3,5
5,6
6,4
4,6
6,6
6,2117
2117,4
4,5
5,4
4,4
4,5
5,4
4,5
5,13
13,2229
2229,8
8,4
4,5
5,436
436,8
8,7
7,609
609,4
4,8
8,238
238,4
4,4
4,4
4,4
4,5
5,7
7,4
4,4
4,6
6,6
6,6
6,4
4,8
8,3
3,14
14,6
6,4
4,8
8,4
4,6
6,6
6,6
6,5
5,5
5,5
5,5
5,5
5,2
2,5
5,7
7,3
3,3
3,4
4,2
2,6
6,7
7,11
11,5
5,7
7,4
4,1700
1700,6
6,4
4,9
9,4
4,4
4,1023
1023,4
4,4
4,6
6,2
2,6
6,5
5,4
4,8
8,6
6,4
4,5
5,2
2,3
3,4
4,4
4,411
411,5
5,5
5,6
6,7
7,4
4,13
13,1366
1366,3
3,4
4,6
6,3
3,3
3,5
5,3
3,4
4,2
2,2
2,4
4,8
8,8
8,5
5,5
5,4
4,3649
3649,5
5,7
7,5
5,5
5,5
5,7
7,5
5,6
6,2198
2198,3
3,4
4,5
5,9
9,6856
6856,23
23,4
4,6
6,3
3,4
4,4
4,6
6,4
4,4
4,61
61,10
10,1220
1220,2
2,3
3,10
10,9
9,5
5,4
4,5
5,23
23,4
4,5
5,4
4,5
5,1238
1238,5
5,10
10,5
5,3
3,5
5,7
7,3
3,4
4,3
3,6
6,10
10,4
4,3
3,2
2,3
3,4
4,3
3,2862
2862,5
5,3
3,1092
1092,4
4,4
4,8
8,2
2,3
3,4
4,5
5,6
6,4
4,6
6,767
767,9
9,4
4,7
7,9
9,6
6,4
4,8
8,7
7,6
6,893
893,5
5,4
4,3
3,1158
1158,3
3,5
5,4
4,4
4,50
50,5
5,1422
1422,7
7,5
5,1
1,5
5,5
5,5
5,4
4,3
3,4
4,3
3,12
12,4
4,4
4,4
4,4
4,6
6,3
3,2
2,4
4,4
4,4
4,5
5,5
5,7
7,2779
2779,6
6,59
59,5
5,3
3,4
4,4
4,4
4,4
4,11
11,2
2,4
4,4
4,23
23,4
4,5
5,2
2,6
6,10
10,5
5,1774
1774,36
36,6
6,3
3,1820
1820,1834
1834,5
5,5
5,3
3,6
6,63
63,2245
2245,21
21,685
685,5
5,7
7,3
3,6
6,3
3,4
4,4
4,5
5,3
3,7
7,3
3,6
6,3
3,2
2,8
8,5
5,1299
1299,91
91,9
9,1273
1273,4
4,4
4,4
4,4
4,8
8,4
4,9
9,0
0,12
12,6
6,7
7,12
12,4
4,5
5,373
373,2493
2493,118
118,1
1,3
3,6
6,3
3,5
5,4
4,5
5,3
3,176
176,4
4,10
10,5
5,5
5,4
4,5
5,3
3,5
5,3
3,5
5,4
4,4
4,4
4,7
7,4
4,4
4,3
3,6
6,3
3,3
3,4
4,4
4,5
5,5
5,4
4,4
4,2
2,4
4,4
4,98
98,5
5,4
4,3
3,4
4,6
6,6
6,6
6,4
4,5
5,2
2,6
6,3
3,6
6,3
3,2
2,4
4,4
4,5
5,5
5,4
4,4
4,3
3,5
5,4
4,5
5,4
4,3
3,4
4,2
2,4
4,6
6,6
6,4
4,4
4,3
3,2
2,2
2,3
3,4
4,2
2,5
5,4
4,5
5,427
427,4
4,6
6,4
4,14
14,4
4,4
4,3
3,4
4,4
4,4
4,3
3,4
4,4
4,4
4,4
4,4
4,3
3,4
4,4
4,4
4,5
5,5
5,13
13,4
4,5
5,4
4,8
8,4
4,12
12,4
4,2
2,5
5,10
10,165
165,3
3,6
6,6
6,4
4,4
4,5
5,3
3,4
4,3
3,7
7,1139
1139,4
4,4
4,5
5,4
4,4
4,5
5,3
3,4
4,4
4,5
5,5
5,3
3,4
4,1
1,5
5,5
5,131
131,6
6,6
6,5
5,147
147,4
4,4
4,5
5,125
125,4
4,5
5,4
4,4
4,4
4,5
5,3
3,4
4,6
