date,count
2016-10-23,26
2016-10-25,14
2016-10-27,6
2016-10-28,25
2016-10-29,50
2016-10-30,18
2016-10-31,12
2016-11-01,26
2016-11-02,3
2016-11-03,12
2016-11-04,32
2016-11-08,17
2016-11-09,11
2016-11-10,20
2016-11-11,7
2016-11-13,4
2016-11-15,19
2016-11-16,19
2016-11-17,12
2016-11-19,12
2016-11-20,9
2016-11-22,6
2016-11-24,7
2016-11-25,10
2016-11-26,9
2016-11-28,5
2016-11-29,1
2016-11-30,5
2016-12-01,1
2016-12-03,25
2016-12-04,13
2016-12-12,11
2016-12-29,11
2016-12-30,24
2016-12-31,29
2017-01-01,33
2017-01-02,16
2017-01-03,6
2017-01-04,1
2017-01-05,2
2017-01-06,15
2017-01-07,13
2017-01-08,7
2017-01-09,3
2017-01-10,1
2017-01-12,17
2017-01-13,3
2017-01-14,8
2017-01-16,78
2017-01-17,37
2017-01-18,17
2017-01-19,40
2017-01-20,89
2017-01-21,40
2017-01-23,16
2017-01-24,3
2017-01-25,19
2017-01-27,6
2017-01-28,1
2017-01-29,4
2017-01-31,20
2017-02-02,25
2017-02-03,7
2017-02-04,14
2017-02-05,11
2017-02-06,3
2017-02-08,18
2017-02-09,16
2017-02-10,9
2017-02-14,5
2017-02-16,9
2017-02-18,17
2017-02-19,7
2017-02-20,22
2017-02-22,47
2017-02-23,4
2017-02-24,9
2017-02-26,19
2017-03-01,7
2017-03-02,13
2017-03-03,11
2017-03-04,8
2017-03-06,38
2017-03-08,15
2017-03-10,17
2017-03-11,6
2017-03-12,4
2017-03-13,9
2017-03-14,2
2017-03-15,6
2017-03-16,18
2017-03-17,11
2017-03-18,15
2017-03-19,21
2017-03-20,12
2017-03-21,13
2017-03-24,12
2017-03-25,33
2017-03-26,22
2017-03-27,34
2017-03-30,21
2017-03-31,21
2017-04-01,4
2017-04-02,25
2017-04-03,15
2017-04-04,21
2017-04-05,1
2017-04-07,3
2017-04-08,7
2017-04-09,5
2017-04-10,6
2017-04-11,2
2017-04-13,8
2017-04-15,22
2017-04-16,6
2017-04-17,19
2017-04-18,18
2017-04-19,14
2017-04-21,35
2017-04-22,8
2017-04-25,2
2017-04-26,26
2017-04-28,1
2017-04-30,12
2017-05-01,3
2017-05-02,2
2017-05-03,22
2017-05-04,7
2017-05-05,2
2017-05-06,9
2017-05-07,6
2017-05-09,3
2017-05-10,18
2017-05-11,27
2017-05-12,7
2017-05-13,73
2017-05-14,7
2017-05-15,31
2017-05-16,25
2017-05-17,30
2017-05-18,2
2017-05-19,4
2017-05-20,26
2017-05-21,31
2017-05-22,1
2017-05-23,8
2017-05-24,39
2017-05-25,20
2017-05-26,76
2017-05-27,24
2017-05-28,34
2017-05-29,14
2017-05-31,16
2017-06-01,26
2017-06-03,8
2017-06-04,4
2017-06-05,52
2017-06-06,3
2017-06-07,1
2017-06-08,55
2017-06-09,38
2017-06-10,12
2017-06-11,27
2017-06-12,32
2017-06-13,42
2017-06-14,35
2017-06-15,10
2017-06-16,36
2017-06-17,41
2017-06-18,6
2017-06-19,28
2017-06-20,22
2017-06-21,20
2017-06-22,8
2017-06-23,29
2017-06-24,1
