date,count
2017-05-29,2
2017-05-31,4
2017-06-01,5
2017-06-03,1
2017-06-05,6
2017-06-08,5
2017-06-09,33
2017-06-10,7
2017-06-11,14
2017-06-12,16
2017-06-13,7
2017-06-14,9
2017-06-15,3
2017-06-16,7
2017-06-17,6
2017-06-19,9
2017-06-20,3
2017-06-22,1
2017-06-23,13
2017-06-24,1
