post,pre
1581,71
71,1210
1210,146
146,88
88,133
133,1035
1035,106
106,110
110,30
30,152
152,1034
1034,86
86,75
75,84
84,111
111,57
57,960
960,124
124,75
75,135
135,90
90,1029
1029,315
315,61
61,992
992,61
61,1640
1640,66
66,1293
1293,90
90,141
141,98
98,1285
1285,1418
1418,169
169,1029
1029,100
100,169
169,76
76,1106
1106,107
107,77
77,109
109,147
147,892
892,1602
1602,1550
1550,120
120,123
123,1353
1353,60
60,882
882,378
378,77
77,948
948,443
443,166
166,1025
1025,128
128,132
132,83
83,2809
2809,1096
1096,138
138,66
66,94
94,97
97,83
83,1067
1067,130
130,169
169,97
97,823
823,148
148,177
177,57
57,222
222,1141
1141,131
131,155
155,1025
1025,169
169,151
151,2918
2918,1210
1210,121
121,102
102,1126
1126,119
119,117
117,130
130,1332
1332,105
105,1029
1029,84
84,110
110,1193
1193,133
133,1
1,1
1,1
1,1
1,1
1,1
1,0
0,0
0,1
1,1
1,1
1,0
0,2
2,2
2,10
10,110
110,2960
2960,90
90,1118
1118,93
93,173
173,41
41,2
2,1
1,1
1,1
1,1
1,1
1,2
2,1
1,65
65,1056
1056,83
83,76
76,152
152,136
136,997
997,230
230,64
64,1117
1117,137
137,203
203,1059
1059,121
121,46
46,107
107,113
113,1132
1132,52
52,60
60,80
80,85
85,1097
1097,65
65,209
209,101
101,1082
1082,79
79,102
102,123
123,70
70,1121
1121,115
115,138
138,115
115,1015
1015,40
40,176
176,90
90,109
109,908
908,64
64,254
254,70
70,121
121,37
37,1121
1121,258
258,2789
2789,1587
1587,1255
1255,139
139,1289
1289,61
61,1141
1141,82
82,136
136,112
112,133
133,1045
1045,135
135,99
99,60
60,2795
2795,41
41,1198
1198,79
79,120
120,146
146,1026
1026,102
102,36
36,61
61,105
105,1122
1122,144
144,113
113,84
84,99
99,1050
1050,90
90,168
168,140
140,4119
4119,164
164,1364
1364,1119
1119,195
195,169
169,114
114,999
999,74
74,94
94,57
57,69
69,46
46,1177
1177,100
100,76
76,98
98,1085
1085,81
81,156
156,109
109,2632
2632,91
91,90
90,1244
1244,168
168,87
87,140
140,932
932,264
264,135
135,877
877,81
81,59
59,67
67,93
93,64
64,79
79,63
63,70
70,1027
1027,202
202,64
64,140
140,1089
1089,110
110,145
145,149
149,1292
1292,1319
1319,216
216,1013
1013,117
117,163
163,114
114,1056
1056,80
80,71
71,165
165,85
85,1030
1030,132
132,129
129,65
65,76
76,123
123,955
955,82
82,174
174,63
63,1036
1036,117
117,180
180,72
72,2784
2784,69
69,1165
1165,48
48,102
102,107
107,79
79,1153
1153,123
123,88
88,130
130,1007
1007,127
127,177
177,108
108,1104
1104,125
125,183
183,956
956,166
166,55
55,50
50,2949
2949,77
77,1240
1240,226
226,1096
1096,159
159,138
138,72
72,1132
1132,76
76,60
60,14
14,65
65,79
79,1132
1132,122
122,97
97,67
67,1359
1359,87
87,61
61,32
32,2750
2750,74
74,1120
1120,60
60,122
122,59
59,68
68,87
87,1002
1002,114
114,123
123,126
126,1102
1102,136
136,80
80,113
113,1190
1190,200
200,74
74,1076
1076,104
104,95
95,94
94,2872
2872,82
82,1096
1096,116
116,132
132,69
69,1114
1114,63
63,107
107,64
64,57
57,77
77,998
998,98
98,1331
1331,71
71,124
124,99
99,121
121,913
913,21
21,35
35,64
64,69
69,176
176,163
163,2802
2802,63
63,1051
1051,63
63,110
110,107
107,104
104,1103
1103,223
223,120
120,1144
1144,76
76,69
69,95
95,84
84,1081
1081,191
191,131
131,1082
1082,146
146,143
143,96
96,2902
2902,1021
1021,229
229,68
68,76
76,1065
1065,71
71,87
87,135
135,91
91,1075
1075,67
67,86
86,66
66,73
73,77
77,1002
1002,156
156,114
114,95
95,1143
1143,111
111,213
213,2800
2800,86
86,1130
1130,147
147,125
125,157
157,978
978,77
77,99
99,186
186,1037
1037,85
85,216
216,2
2,1
1,1
1,2
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,0
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,1
1,0
0,2
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,11
11,89
89,1035
1035,138
138,93
93,124
124,1050
1050,158
158,52
52,69
69,64
64,1206
1206,64
64,1190
1190,305
305,96
96,1235
1235,136
136,100
100,1039
1039,69
69,92
92,131
131,80
80,1412
1412,1144
1144,103
103,217
217,1121
1121,193
193,138
138,2581
2581,55
55,1371
1371,127
127,102
102,1172
1172,118
118,125
125,89
89,1160
1160,253
253,1278
1278,112
112,135
135,1036
1036,13
13,2
2,2
2,8
8,76
76,69
69,171
171,2953
2953,84
84,1016
1016,86
86,93
93,144
144,1291
1291,1120
1120,48
48,134
134,158
158,101
101,1058
1058,1
1,1
1,0
0,0
0,1
1,1
1,2
2,0
0,1
1,1
1,1
1,1
1,3
3,1
1,0
0,1
1,0
0,0
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,3
3,1
1,1
1,0
0,1
1,0
0,0
0,0
0,1
1,0
0,1
1,1
1,4
4,1
1,1
1,6
6,1
1,1
1,2
2,3
3,92
92,76
76,298
298,972
972,119
119,85
85,130
130,39
39,2409
2409,275
275,1241
1241,212
212,78
78,50
50,1050
1050,172
172,52
52,188
188,1182
1182,126
126,124
124,1047
1047,131
131,126
126,145
145,1142
1142,68
68,231
231,1020
1020,1755
1755,74
74,2577
2577,72
72,2
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,1
1,1
1,1
1,0
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,5
5,22
22,53
53,124
124,1022
1022,193
193,3
3,1
1,1
1,1
1,1
1,1
1,2
2,1
1,7
7,41
41,91
91,1019
1019,62
62,129
129,86
86,92
92,93
93,67
67,957
957,100
100,44
44,97
97,118
118,975
975,10
10,124
124,101
101,1563
1563,83
83,5
5,4
4,5
5,95
95,62
62,1152
1152,92
92,22
22,70
70,5
5,8
8,1
1,1
1,1
1,2
2,1
1,0
0,1
1,1
1,1
1,2
2,1
1,56
56,1288
1288,48
48,1
1,1
1,0
0,1
1,1
1,2
2,1
1,1
1,0
0,1
1,3
3,1
1,1
1,1
1,2
2,14
14,1024
1024,128
128,100
100,97
97,1058
1058,184
184,126
126,98
98,970
970,71
71,138
138,109
109,114
114,107
107,2526
2526,99
99,257
257,787
787,345
345,101
101,125
125,109
109,1227
1227,106
106,815
815,271
271,166
166,114
114,120
120,1135
1135,218
218,108
108,981
981,163
163,84
84,1277
1277,1428
1428,72
72,1441
1441,236
236,42
42,105
105,124
124,884
884,116
116,226
226,1060
1060,110
110,242
242,1047
1047,195
195,185
185,66
66,959
959,220
220,91
91,170
170,2522
2522,65
65,182
182,112
112,1144
1144,87
87,58
58,210
210,1117
1117,138
138,92
92,1162
1162,149
149,125
125,1086
1086,144
144,134
134,100
100,1038
1038,3
3,175
175,124
124,1411
1411,1627
1627,991
991,96
96,149
149,163
163,978
978,60
60,111
111,154
154,91
91,1022
1022,86
86,219
219,118
118,1015
1015,70
70,221
221,110
110,1455
1455,2671
2671,93
93,81
81,1129
1129,157
157,117
117,83
83,982
982,108
108,121
121,102
102,117
117,1024
1024,126
126,70
70,146
146,4
4,1
1,2
2,1
1,3
3,2
2,4
4,14
14,67
67,1112
1112,130
130,91
91,75
75,1105
1105,111
111,51
51,189
189,2569
2569,290
290,1019
1019,149
149,100
100,145
145,1038
1038,90
90,121
121,82
82,137
137,1026
1026,73
73,231
231,1158
1158,118
118,77
77,177
177,974
974,216
216,90
90,161
161,2845
2845,61
61,1104
1104,97
97,88
88,4
4,3
3,12
12,0
0,3
3,12
12,58
58,159
159,900
900,135
135,180
180,1238
