word,x,y
poultry,-21.993428623,2.11324524564
greenest,-12.7642425462,-5.9420641935
promotional,12.8786396433,9.66238700356
visibly,-4.87556445673,-8.05370327076
aletheia,-15.2407033915,11.1329715573
intrust,12.1510611372,-9.4214800205
tissues,-2.09749043651,9.61510292514
chambermaids,-8.33478035144,8.40562101259
wohngebiet,16.0423314101,13.1193982719
dorn,-6.06737033464,-14.4514718751
hoo,-6.38236570709,3.42740996586
caldron,-16.5862090707,-7.99369470448
felis,1.20292638442,6.75198420417
demonstration,14.7632745045,-11.3229155436
falconry,-9.93849003131,0.592684161312
pretenders,9.26295733801,-6.92551495854
asada,2.2057016195,-0.759133347371
scuba,-9.82098693979,11.535234364
goza,-4.84427766821,-14.3214905947
gratify,12.8246180144,-10.0888310408
roome,-1.03775108006,-13.9149625271
